scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,failover_batches,hot_failover_function_stages,cold_failover_function_stages,total_cold_backup_startup_delay_ms
cold_standby,8,1008,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
hot_standby,8,1008,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,8,1008,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,9,1009,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,9,1009,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
hot_standby,9,1009,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,9,1009,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,10,1010,0.967391304347826,0.034482758620689655,150.98214285714286,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,10,1010,1.0,0.034482758620689655,208.91972413793104,285.0,1562.2564102564102,3072.0,2,0,6,3200.0
hot_standby,10,1010,1.0,0.0,153.7473103448276,285.0,3072.0,3072.0,2,6,0,0.0
trajectory_dynamic,10,1010,1.0,0.034482758620689655,208.91972413793104,285.0,1719.7948717948718,3072.0,2,0,6,3200.0
single_replica,11,1011,0.9891304347826086,0.017241379310344827,151.66666666666666,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,11,1011,1.0,0.017241379310344827,179.66289655172415,285.0,1549.128205128205,3072.0,1,0,3,1600.0
hot_standby,11,1011,1.0,0.0,152.07668965517243,285.0,3072.0,3072.0,1,3,0,0.0
trajectory_dynamic,11,1011,1.0,0.017241379310344827,179.66289655172415,285.0,1706.6666666666667,3072.0,1,0,3,1600.0
single_replica,12,1012,0.9782608695652174,0.017241379310344827,150.0,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,12,1012,1.0,0.017241379310344827,179.9464827586207,285.0,1549.128205128205,3072.0,1,0,3,1600.0
hot_standby,12,1012,1.0,0.0,152.360275862069,285.0,3072.0,3072.0,1,3,0,0.0
trajectory_dynamic,12,1012,1.0,0.017241379310344827,179.9464827586207,285.0,1706.6666666666667,3072.0,1,0,3,1600.0
single_replica,13,1013,0.9565217391304348,0.034482758620689655,149.28571428571428,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,13,1013,1.0,0.034482758620689655,209.2033103448276,285.0,1562.2564102564102,3072.0,2,0,6,3200.0
hot_standby,13,1013,1.0,0.0,154.03089655172417,285.0,3072.0,3072.0,2,6,0,0.0
trajectory_dynamic,13,1013,1.0,0.034482758620689655,209.2033103448276,285.0,1719.7948717948718,3072.0,2,0,6,3200.0
