scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,cold_start_function_stages,total_cold_start_delay_ms,slow_decision_updates,slow_mode_switches,total_request_delay_cost,total_memory_cost,total_cold_start_cost,total_sla_penalty,total_slow_control_cost,total_system_cost
fixed_hot,17,5017,1.0,0.0,153.7473103448276,285.0,3072.0,3072.0,0,0.0,1,0,8917.344000000001,3594.2400000000002,0.0,0.0,770.0,13281.584
fixed_dynamic,17,5017,1.0,0.034482758620689655,208.91972413793104,285.0,1772.3076923076924,3072.0,6,3200.0,1,0,12117.344000000001,2073.6,640.0,10000.0,770.0,25600.944000000003
two_timescale,17,5017,1.0,0.017241379310344827,181.33351724137933,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10517.344000000001,2534.4,320.0,5000.0,1010.0,19381.744
fixed_single,18,5018,0.967391304347826,0.017241379310344827,148.33333333333334,285.0,1536.0,1536.0,0,0.0,1,0,8455.0,1797.1200000000001,0.0,5000.0,770.0,16022.12
fixed_cold,18,5018,1.0,0.017241379310344827,180.23006896551726,285.0,1549.128205128205,3072.0,3,1600.0,1,0,10453.344000000001,1812.48,320.0,5000.0,770.0,18355.824
fixed_hot,18,5018,1.0,0.0,152.64386206896555,285.0,3072.0,3072.0,0,0.0,1,0,8853.344000000001,3594.2400000000002,0.0,0.0,770.0,13217.584
fixed_dynamic,18,5018,1.0,0.017241379310344827,180.23006896551726,285.0,1759.179487179487,3072.0,3,1600.0,1,0,10453.344000000001,2058.2400000000002,320.0,5000.0,770.0,18601.584000000003
two_timescale,18,5018,1.0,0.0,152.64386206896555,285.0,2153.025641025641,3072.0,0,0.0,13,4,8853.344000000001,2519.04,0.0,0.0,1010.0,12382.384000000002
fixed_single,19,5019,0.9565217391304348,0.05172413793103448,152.0,285.0,1536.0,1536.0,0,0.0,1,0,8360.0,1797.1200000000001,0.0,15000.0,770.0,25927.120000000003
fixed_cold,19,5019,1.0,0.05172413793103448,237.8929655172414,508.5671999999979,1575.3846153846155,3072.0,9,4800.0,1,0,13797.792000000001,1843.2,960.0,15000.0,770.0,32370.992000000002
fixed_hot,19,5019,1.0,0.0,155.13434482758623,285.0,3072.0,3072.0,0,0.0,1,0,8997.792000000001,3594.2400000000002,0.0,0.0,770.0,13362.032000000001
fixed_dynamic,19,5019,1.0,0.034482758620689655,210.30675862068966,285.0,1772.3076923076924,3072.0,6,3200.0,1,0,12197.792000000001,2073.6,640.0,10000.0,770.0,25681.392
two_timescale,19,5019,1.0,0.0,155.13434482758623,285.0,2153.025641025641,3072.0,0,0.0,13,4,8997.792000000001,2519.04,0.0,0.0,1010.0,12526.832000000002
fixed_single,20,5020,0.9347826086956522,0.06896551724137931,151.2962962962963,285.0,1536.0,1536.0,0,0.0,1,0,8170.0,1797.1200000000001,0.0,20000.0,770.0,30737.120000000003
fixed_cold,20,5020,1.0,0.06896551724137931,267.1497931034483,1775.448,1588.5128205128206,3072.0,12,6400.0,1,0,15494.688,1858.56,1280.0,20000.0,770.0,39403.248
fixed_hot,20,5020,1.0,0.0,156.80496551724136,285.0,3072.0,3072.0,0,0.0,1,0,9094.688,3594.2400000000002,0.0,0.0,770.0,13458.928
fixed_dynamic,20,5020,1.0,0.06896551724137931,267.1497931034483,1775.448,1798.5641025641025,3072.0,12,6400.0,1,0,15494.688,2104.32,1280.0,20000.0,770.0,39649.008
two_timescale,20,5020,1.0,0.017241379310344827,184.3911724137931,285.2844,2166.153846153846,3072.0,3,1600.0,13,4,10694.688000000002,2534.4,320.0,5000.0,1010.0,19559.088000000003
fixed_single,21,5021,0.967391304347826,0.017241379310344827,148.33333333333334,285.0,1536.0,1536.0,0,0.0,1,0,8455.0,1797.1200000000001,0.0,5000.0,770.0,16022.12
fixed_cold,21,5021,1.0,0.017241379310344827,180.23006896551726,285.0,1549.128205128205,3072.0,3,1600.0,1,0,10453.344000000001,1812.48,320.0,5000.0,770.0,18355.824
fixed_hot,21,5021,1.0,0.0,152.64386206896555,285.0,3072.0,3072.0,0,0.0,1,0,8853.344000000001,3594.2400000000002,0.0,0.0,770.0,13217.584
fixed_dynamic,21,5021,1.0,0.017241379310344827,180.23006896551726,285.0,1759.179487179487,3072.0,3,1600.0,1,0,10453.344000000001,2058.2400000000002,320.0,5000.0,770.0,18601.584000000003
two_timescale,21,5021,1.0,0.0,152.64386206896555,285.0,2153.025641025641,3072.0,0,0.0,13,4,8853.344000000001,2519.04,0.0,0.0,1010.0,12382.384000000002
fixed_single,22,5022,0.9239130434782609,0.08620689655172414,152.35849056603774,285.0,1536.0,1536.0,0,0.0,1,0,8075.0,1797.1200000000001,0.0,25000.0,770.0,35642.12
fixed_cold,22,5022,1.0,0.08620689655172414,296.12303448275867,1775.448,1601.6410256410256,3072.0,15,8000.0,1,0,17175.136000000002,1873.92,1600.0,25000.0,770.0,46419.056000000004
fixed_hot,22,5022,1.0,0.0,158.19199999999998,285.0,3072.0,3072.0,0,0.0,1,0,9175.136,3594.2400000000002,0.0,0.0,770.0,13539.376
fixed_dynamic,22,5022,1.0,0.08620689655172414,296.12303448275867,1775.448,1811.6923076923076,3072.0,15,8000.0,1,0,17175.136000000002,2119.68,1600.0,25000.0,770.0,46664.816000000006
two_timescale,22,5022,1.0,0.034482758620689655,213.36441379310347,286.896,2179.2820512820513,3072.0,6,3200.0,13,4,12375.136000000002,2549.76,640.0,10000.0,1010.0,26574.896
fixed_single,23,5023,0.9130434782608695,0.08620689655172414,150.56603773584905,285.0,1536.0,1536.0,0,0.0,1,0,7980.0,1797.1200000000001,0.0,25000.0,770.0,35547.12
fixed_cold,23,5023,1.0,0.08620689655172414,296.4066206896552,1775.448,1601.6410256410256,3072.0,15,8000.0,1,0,17191.584000000003,1873.92,1600.0,25000.0,770.0,46435.504
fixed_hot,23,5023,1.0,0.0,158.47558620689654,285.0,3072.0,3072.0,0,0.0,1,0,9191.584,3594.2400000000002,0.0,0.0,770.0,13555.824
